"Gene","distance","Z","FC","p_value","p_adj"
"FABP5",3.23781737580194e-07,0.0246672866941394,0.000507669212362562,0.982023972260151,0.999999999999909
"RPS28",3.23695181155486e-07,0.0246055599812216,0.000507397818683703,0.98202877697065,0.999999999999909
"HIST1H4C",3.21830333386589e-07,0.0232721014243624,0.00050156829695456,0.982132294039003,0.999999999999909
"ARL6IP1",2.92504766950139e-07,0.00134854206183837,0.000414325844240759,0.983760184744537,0.999999999999909
"HERPUD1",2.83989142042299e-07,-0.00538264397235587,0.000390552659006729,0.98423290833223,0.999999999999909
"ACTG2",2.78638057127842e-07,-0.00970448532529528,0.00037597329115386,0.984529963251335,0.999999999999909
"SOCS2",2.57249200061673e-07,-0.0277483881203516,0.000320467648418896,0.985717344451977,0.999999999999909
"TCEAL4",2.40073695097532e-07,-0.0432272005250318,0.000279103499297882,0.986670848615328,0.999999999999909
"RSPO3",2.39345870031219e-07,-0.0439045562377306,0.000277413763169473,0.986711254508465,0.999999999999909
"RAMP1",2.39228269986463e-07,-0.0440141727701273,0.000277141221543712,0.986717783188764,0.999999999999909
"SRP14",2.32970693209489e-07,-0.0499169387498886,0.000262832285463235,0.987065179891541,0.999999999999909
"CNN1",2.29176719422383e-07,-0.0535645519613439,0.000254341439160753,0.987275807987766,0.999999999999909
"HSPA8",2.27855871245755e-07,-0.0548470066107533,0.000251418120229673,0.987349137047195,0.999999999999909
"STK17A",2.1950573829832e-07,-0.0631102804668225,0.000233328550790497,0.987812710862389,0.999999999999909
"AKAP13",2.16634746596149e-07,-0.066015822513911,0.000227264896021715,0.987972100489911,0.999999999999909
"HSPA2",2.15461599313697e-07,-0.0672129145514327,0.000224810134765299,0.988037230565323,0.999999999999909
"MYLK",2.13663397625623e-07,-0.0690590749959469,0.000221073347777585,0.988137062184655,0.999999999999909
"IL1B",2.08851471696543e-07,-0.0740679018127174,0.000211227864053176,0.988404209076923,0.999999999999909
"NMB",2.03318487562016e-07,-0.079955250565363,0.000200184233035858,0.988711389042267,0.999999999999909
"HOXA10",2.01609544415033e-07,-0.0818023415965906,0.0001968331778092,0.988806266411725,0.999999999999909
"TPM1",1.99503042434135e-07,-0.0840983110414614,0.000192741473045113,0.988923215731576,0.999999999999909
"CSTB",1.98137158242059e-07,-0.0855985530190081,0.000190111324418184,0.988999047369513,0.999999999999909
"CSRP1",1.96350458641509e-07,-0.0875748966362837,0.000186698129872016,0.989098242134904,0.999999999999909
"DDIT3",1.95265118163074e-07,-0.0887832296727297,0.000184639861094913,0.989158498621933,0.999999999999909
"ARRDC3",1.85881457392878e-07,-0.0994858565053684,0.00016732015775502,0.989679468035452,0.999999999999909
"TCF4",1.8326492152107e-07,-0.102555482842295,0.000162642790904499,0.98982473571334,0.999999999999909
"IL6",1.82757419189202e-07,-0.103155357948017,0.000161743248245522,0.98985291181773,0.999999999999909
"KPNA2",1.82306423569481e-07,-0.10368968098173,0.000160945956491506,0.989877950727412,0.999999999999909
"BAG2",1.705910562848e-07,-0.117997093698757,0.000140925194942702,0.990528381803517,0.999999999999909
"PDLIM3",1.69811806755591e-07,-0.118979334341802,0.00013964066012529,0.990571645558653,0.999999999999909
"SMTN",1.69338055954571e-07,-0.119578448674569,0.000138862591809505,0.990597948108027,0.999999999999909
"TCEAL1",1.69049281933682e-07,-0.119944366625046,0.000138389387870112,0.990613980788714,0.999999999999909
"TCEAL3",1.68644244046721e-07,-0.120458541653359,0.000137727027239331,0.99063646842431,0.999999999999909
"ATP1B1",1.66029865607517e-07,-0.123803929641635,0.000133489946911687,0.990781618455243,0.999999999999909
"THY1",1.65748730918493e-07,-0.124166446573936,0.000133038258519887,0.990797227043471,0.999999999999909
"HSPA6",1.60614451990279e-07,-0.13088467509078,0.000124923852281554,0.991082282645775,0.999999999999909
"SLMAP",1.59526244300851e-07,-0.132332996061098,0.000123236798983704,0.991142700176577,0.999999999999909
"PARVA",1.59054871891108e-07,-0.132963074895455,0.000122509588190431,0.991168870892462,0.999999999999909
"EMILIN1",1.56487497255296e-07,-0.136424182363144,0.000118586545303483,0.991311412350254,0.999999999999909
"HPCAL1",1.56040753805773e-07,-0.137031574268414,0.000117910425584173,0.991336215717366,0.999999999999909
"ITM2C",1.53261873154542e-07,-0.140844705287315,0.000113748161504667,0.991490500420611,0.999999999999909
"MRGPRF",1.50606837338481e-07,-0.144545550369043,0.00010984125971235,0.991637909500249,0.999999999999909
"IGFBP2",1.48763242401601e-07,-0.14714948326282,0.000107168560858732,0.991740267094767,0.999999999999909
"CKB",1.4727637233248e-07,-0.149270479493437,0.00010503699391252,0.991822819190845,0.999999999999909
"SVIL",1.4673077575656e-07,-0.150053523911103,0.000104260200286896,0.991853111127312,0.999999999999909
"FTL",1.4458916525718e-07,-0.153152327098546,0.000101238949139844,0.991972015082648,0.999999999999909
"SPON2",1.42738528976e-07,-0.155863030065486,9.86639642349456e-05,0.992074764056628,0.999999999999909
"SOX4",1.41122601305959e-07,-0.158255528593964,9.6442680825557e-05,0.992164481907102,0.999999999999909
"FHL2",1.36729780133577e-07,-0.164884269961134,9.05320508095255e-05,0.992408376039425,0.999999999999909
"KCNMA1",1.36310480737849e-07,-0.165526814804872,8.99776459168061e-05,0.992431656028023,0.999999999999909
"MAP2K3",1.36211385103101e-07,-0.165678927203583,8.98468687256947e-05,0.9924371579335,0.999999999999909
"TSC22D2",1.36003729994094e-07,-0.165997997274113,8.95731333132623e-05,0.992448687189053,0.999999999999909
"MAOB",1.35844127675242e-07,-0.166243525841486,8.93630259660982e-05,0.992457548498328,0.999999999999909
"CXCL12",1.3526104677072e-07,-0.167142701822765,8.85975302700379e-05,0.992489921846818,0.999999999999909
"ACTA2",1.35048465987088e-07,-0.167471379501272,8.83192634269835e-05,0.992501724588998,0.999999999999909
"GADD45A",1.30409042338588e-07,-0.174761182040537,8.23552972316428e-05,0.992759311404596,0.999999999999909
"C16orf72",1.29551045976936e-07,-0.17613444208563,8.12751865781996e-05,0.992806948558407,0.999999999999909
"CES1",1.28171242941748e-07,-0.178359866331611,7.9553138773908e-05,0.992883557199693,0.999999999999909
"ISOC1",1.27698822001659e-07,-0.179126692354909,7.89677764765784e-05,0.992909786702212,0.999999999999909
"HNRNPAB",1.25376391233169e-07,-0.182933367448141,7.61215561516903e-05,0.993038731570888,0.999999999999909
"KDM6B",1.22660416430744e-07,-0.187465159269852,7.28593004622717e-05,0.993189526829922,0.999999999999909
"TES",1.18280395031518e-07,-0.194964329025112,6.77488082761176e-05,0.993432713124047,0.999999999999909
"OLFML3",1.18027525045432e-07,-0.195404746230985,6.74594394850218e-05,0.993446752917862,0.999999999999909
"VCL",1.17485439241256e-07,-0.196351706998982,6.6841196808264e-05,0.993476850497913,0.999999999999909
"PCP4",1.13606991165346e-07,-0.20324212234989,6.25008960044962e-05,0.993692189187723,0.999999999999909
"FLT1",1.13388205186391e-07,-0.203636993539047,6.22603975549388e-05,0.993704336608239,0.999999999999909
"PRSS23",1.13074130431084e-07,-0.204205026218286,6.19159642492615e-05,0.993721774648383,0.999999999999909
"COL12A1",1.11288852585374e-07,-0.207460668962976,5.99762705779383e-05,0.993820896796955,0.999999999999909
"COL3A1",1.09797736473853e-07,-0.210215531836791,5.83798401758142e-05,0.993903686578783,0.999999999999909
"ERF",1.09725556284797e-07,-0.210349725239751,5.83031084880024e-05,0.993907694170514,0.999999999999909
"PGR",1.08537822040452e-07,-0.21256920136217,5.70477253855667e-05,0.993973639627105,0.999999999999909
"HNRNPH1",1.07192394329355e-07,-0.215109495684503,5.56421715809723e-05,0.994048340600138,0.999999999999909
"LAMA4",1.06067457363884e-07,-0.217255257980668,5.44804196087818e-05,0.994110799503834,0.999999999999909
"LMCD1",1.05567569465531e-07,-0.218215246134372,5.39681055210659e-05,0.994138554359542,0.999999999999909
"REV3L",1.0280080222876e-07,-0.223602548436264,5.11763296474051e-05,0.99429217137917,0.999999999999909
"IGF1",1.00713411568816e-07,-0.227752688143671,4.91191386741221e-05,0.994408068053096,0.999999999999909
"MOXD1",1.00627913516207e-07,-0.22792429409589,4.90357772216604e-05,0.99441281510184,0.999999999999909
"MATN2",9.83264148129396e-08,-0.232592945995642,4.68183965683518e-05,0.994540599682914,0.999999999999909
"ADGRE5",9.82412787706518e-08,-0.232767496539034,4.67373561401967e-05,0.994545326637446,0.999999999999909
"RBBP6",9.76996794890523e-08,-0.233881061036775,4.62234551732069e-05,0.994575397515666,0.999999999999909
"CHRDL2",9.73719990542654e-08,-0.234557452125009,4.59139122641014e-05,0.994593591115274,0.999999999999909
"FABP3",9.42616132022398e-08,-0.241080257764806,4.30274752738492e-05,0.994766287298029,0.999999999999909
"KRT19",9.18306109591036e-08,-0.246312448384454,4.08367409447006e-05,0.994901262622595,0.999999999999909
"ZCCHC12",9.02548793168948e-08,-0.249769796032637,3.94473203765898e-05,0.994988751262518,0.999999999999909
"OSR2",8.80303254249403e-08,-0.254742908089004,3.75267317039187e-05,0.995112264271,0.999999999999909
"SORBS1",8.55969536881304e-08,-0.260311995499999,3.54807462269068e-05,0.995247371522487,0.999999999999909
"ID1",8.53827404978634e-08,-0.260808942543772,3.53033816559171e-05,0.99525926521343,0.999999999999909
"RAB23",8.5140520794745e-08,-0.261372193391581,3.51033635892633e-05,0.995272713902362,0.999999999999909
"CTGF",8.40698958797957e-08,-0.263878924996919,3.4226078862854e-05,0.995332157891199,0.999999999999909
"TPM2",8.23104016554943e-08,-0.268060658087697,3.28084391532019e-05,0.995429849822012,0.999999999999909
"MGP",8.0328158304606e-08,-0.272867734084511,3.12472460729437e-05,0.995539909475458,0.999999999999909
"ODC1",7.69539118053231e-08,-0.281297647636343,2.86772518315374e-05,0.995727257201888,0.999999999999909
"RGS2",7.67544678755497e-08,-0.281806104712582,2.85287969458702e-05,0.99573833090146,0.999999999999909
"UAP1",7.61157001635278e-08,-0.283442477089121,2.80559268762087e-05,0.995773797124209,0.999999999999909
"SFRP4",7.58727078024938e-08,-0.28406816187286,2.78770808831815e-05,0.995787288762004,0.999999999999909
"PPM1K",7.51957030347918e-08,-0.285820801907053,2.73818114611495e-05,0.99582487802865,0.999999999999909
"VASP",7.50093642013449e-08,-0.286305651648329,2.72462725214303e-05,0.995835224102318,0.999999999999909
"COL1A2",7.1914029143974e-08,-0.294519824254866,2.50439813165837e-05,0.996007086203093,0.999999999999909
"FSTL1",7.07807500247644e-08,-0.297605729322721,2.42608743306574e-05,0.996070009237689,0.999999999999909
"BHLHE40",6.88055299311637e-08,-0.303090412773513,2.29257111242774e-05,0.996179679402902,0.999999999999909
