"Gene","distance","Z","FC","p_value","p_adj"
"GRIN3B",1.37784828974736e-16,-1.60917904647121,3.86937382492539e-17,0.999999995036816,0.999999999882318
"CD27",1.37548875732508e-16,-1.60923617942545,3.85613275087932e-17,0.999999995045315,0.999999999882318
"SLC16A14",1.36438429987599e-16,-1.60950621461217,3.79412218815051e-17,0.999999995085315,0.999999999882318
"MESP1",1.35345256513192e-16,-1.60977393213311,3.73356713959071e-17,0.999999995124692,0.999999999882318
"AC019197.1",1.3532505614879e-16,-1.60977889694621,3.73245274828534e-17,0.99999999512542,0.999999999882318
"VSNL1",1.35311365406167e-16,-1.60978226220316,3.73169756714587e-17,0.999999995125913,0.999999999882318
"MATK",1.35168282589022e-16,-1.60981745053257,3.72380969320454e-17,0.999999995131067,0.999999999882318
"CHODL",1.34802868570623e-16,-1.60990746466796,3.70370300936577e-17,0.99999999514423,0.999999999882318
"PBX4",1.33165253315766e-16,-1.61031350380917,3.61426278208627e-17,0.999999995203219,0.999999999882318
"DAB1",1.32892699639288e-16,-1.61038150535652,3.59948306311041e-17,0.999999995213036,0.999999999882318
"S1PR5",1.32203537478147e-16,-1.61055399506058,3.56224707577368e-17,0.999999995237861,0.999999999882318
"ESM1",1.31906517318602e-16,-1.61062857834516,3.54625853794387e-17,0.99999999524856,0.999999999882318
"GJA5",1.31709670702986e-16,-1.6106780884429,3.53568213679812e-17,0.999999995255651,0.999999999882318
"AC127070.1",1.31259045894225e-16,-1.61079167174715,3.51152991595934e-17,0.999999995271883,0.999999999882318
"NALCN",1.28685106408109e-16,-1.61144706109703,3.37516072284975e-17,0.999999995364599,0.999999999882318
"SPINK5",1.27848270472652e-16,-1.61166260894979,3.33140628727013e-17,0.999999995394743,0.999999999882318
"CLDN3",1.27620792337391e-16,-1.61172141468799,3.31956181103908e-17,0.999999995402937,0.999999999882318
"ARHGAP15",1.27455710195019e-16,-1.61176414772168,3.31097941727311e-17,0.999999995408884,0.999999999882318
"AC005537.1",1.27352764825552e-16,-1.61179082057107,3.3056330526822e-17,0.999999995412592,0.999999999882318
"AC011498.4",1.26865232034549e-16,-1.61191739539694,3.28037219977033e-17,0.999999995430153,0.999999999882318
"GALNT3",1.24776343051991e-16,-1.61246457830958,3.17323614722247e-17,0.999999995505398,0.999999999882318
"SMIM25",1.24705691641475e-16,-1.61248322496128,3.16964363709962e-17,0.999999995507943,0.999999999882318
"KLRD1",1.23977774938536e-16,-1.61267587959716,3.13274872465349e-17,0.999999995534163,0.999999999882318
"CD2",1.23115030752165e-16,-1.61290550269523,3.08929970031351e-17,0.99999999556524,0.999999999882318
"LTB",1.22388863052186e-16,-1.61309986784474,3.05296402813814e-17,0.999999995591398,0.999999999882318
"AL035448.1",1.21273067150027e-16,-1.61340049337723,2.99755119837809e-17,0.99999999563159,0.999999999882318
"CBLN1",1.20669967246404e-16,-1.61356399248461,2.96781124600286e-17,0.999999995653315,0.999999999882318
"MS4A7",1.19750837527075e-16,-1.61381454529984,2.92277245314381e-17,0.999999995686423,0.999999999882318
"HOXC9",1.19392498833203e-16,-1.61391268317597,2.90530659708168e-17,0.999999995699331,0.999999999882318
"SCN4B",1.19122236411649e-16,-1.6139868701055,2.89216830947167e-17,0.999999995709066,0.999999999882318
"SLC12A5",1.18829100270398e-16,-1.61406750233221,2.87795172067805e-17,0.999999995719625,0.999999999882318
"CXCL10",1.18242274926205e-16,-1.61422944257434,2.84959696773523e-17,0.999999995740763,0.999999999882318
"CLVS2",1.18093788627771e-16,-1.61427053015651,2.84244452704758e-17,0.999999995746112,0.999999999882318
"SLC18A2",1.18058091701379e-16,-1.61428041456919,2.84072638083884e-17,0.999999995747398,0.999999999882318
"AC008966.1",1.17172478550466e-16,-1.61452647926543,2.79826679976909e-17,0.999999995779299,0.999999999882318
"KCNJ14",1.17160064118807e-16,-1.61452994010968,2.797673878085e-17,0.999999995779746,0.999999999882318
"FCGR3A",1.16798314545909e-16,-1.61463092816126,2.78042406011334e-17,0.999999995792777,0.999999999882318
"AL034548.1",1.16748623951872e-16,-1.61464482141244,2.77805875999384e-17,0.999999995794566,0.999999999882318
"AL445423.1",1.15616433074609e-16,-1.61496278516688,2.7244385689192e-17,0.999999995835349,0.999999999882318
"TXK",1.14424717986173e-16,-1.61530041862814,2.66856378501299e-17,0.999999995878276,0.999999999882318
"GDF3",1.13921862560715e-16,-1.6154438088719,2.64516056910778e-17,0.99999999589639,0.999999999882318
"CDH26",1.13884399017443e-16,-1.61545451380189,2.64342111732868e-17,0.999999995897739,0.999999999882318
"LINC02266",1.13467949749138e-16,-1.61557371879277,2.62412368906799e-17,0.99999999591274,0.999999999882318
"LILRB4",1.13402151297761e-16,-1.61559258799286,2.62108118741261e-17,0.999999995915111,0.999999999882318
"SPINK2",1.13191829682095e-16,-1.61565296672738,2.61136781219746e-17,0.999999995922687,0.999999999882318
"TIGIT",1.12876299572901e-16,-1.61574373264397,2.59682936462421e-17,0.999999995934053,0.999999999882318
"SH2D2A",1.11817469974444e-16,-1.61604994644001,2.54833905137225e-17,0.999999995972193,0.999999999882318
"DIO3",1.11303044448103e-16,-1.61619963404482,2.52494529839978e-17,0.999999995990723,0.999999999882318
"AL355304.1",1.11072787975666e-16,-1.61626683005137,2.51450922030825e-17,0.999999995999017,0.999999999882318
"LMNB1",1.10844735575683e-16,-1.61633350293574,2.50419434147338e-17,0.999999996007232,0.999999999882318
