"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000108175",12.49687,12.66588,12.81153,12.79539,12.99235,12.93396,12.75289,12.67266,13.05197,13.08655,12.92369,13.35673,12.7655,12.84822,12.37537,12.69127,12.63385,12.55208,12.37807,12.32686,12.60146
"ENSG00000108179",5.684218,5.496376,5.196161,5.214849,5.395603,5.146263,5.332538,5.911575,5.623491,5.025779,5.304486,6.214538,6.491146,6.005017,6.441745,6.261791,6.563077,6.635702,6.646689,6.931599,6.232556
"ENSG00000108187",4.514679,4.949096,4.501609,4.752163,4.675588,4.290951,4.81284,4.536471,5.031299,3.978643,4.52701,4.230534,5.365448,5.830411,5.266601,5.539761,5.591906,4.994239,5.437474,5.581957,5.399406
"ENSG00000108219",10.05801,10.95223,9.928225,10.39843,9.790132,9.71127,9.373894,9.944945,10.515,9.251768,10.45143,10.64881,10.75727,10.25508,10.60849,10.3787,10.40401,10.07918,10.7518,10.40898,10.22319
"ENSG00000108231",6.271026,6.567487,6.772701,6.717029,6.894581,7.811219,7.021366,6.898672,6.95707,7.344252,7.304783,7.244221,7.540576,7.995678,7.697404,7.887944,7.792315,8.136423,8.204696,7.961702,8.358737
"ENSG00000108239",3.614304,3.49026,4.569628,3.342104,3.705608,3.953976,3.388102,3.649339,3.545078,3.85619,3.424218,4.089596,5.808401,6.003114,5.917595,5.878605,5.392992,5.625042,5.804109,6.018414,5.676585
"ENSG00000108242",4.653878,4.588958,5.124541,4.501265,4.628808,5.634228,4.234339,4.730379,4.557959,5.040657,4.26439,4.665264,5.759931,5.107272,5.314881,5.316752,5.194476,5.582764,5.15951,5.487654,5.852118
"ENSG00000108244",6.065135,5.990369,5.815292,6.67836,6.087139,5.818801,6.252323,5.584056,5.760341,5.630302,5.553435,5.444101,6.770643,6.811503,6.902873,6.62543,6.383876,7.278893,7.24667,7.135069,6.793421
"ENSG00000108255",5.251925,5.304608,5.107058,4.967677,5.407253,4.845379,5.049072,5.415602,5.048872,4.796857,6.036386,5.677664,6.284777,6.229846,6.264255,6.616313,6.182202,6.072908,6.357495,6.274721,6.206168
"ENSG00000108256",10.24266,9.861567,10.40179,10.25356,10.1783,10.33226,10.01955,9.73931,9.811197,10.32742,9.610634,9.505732,11.09537,11.09636,11.16822,11.24343,11.03771,11.13971,11.15973,11.29948,11.16901
"ENSG00000108262",11.01807,11.38141,11.43111,11.01354,11.72613,11.18344,10.40249,10.79183,11.35631,11.16085,11.23391,10.97444,11.06166,11.29707,11.94958,11.58587,11.02522,10.60626,11.48922,11.63633,11.55181
"ENSG00000108298",13.40003,13.31592,12.86473,13.2559,12.91731,12.81442,12.80357,13.14285,12.84887,12.96835,12.85728,12.74103,12.94531,12.1411,12.68972,12.4777,12.61326,12.25012,12.26871,12.0067,11.83288
"ENSG00000108306",11.08491,10.90583,11.97983,11.80442,11.84373,11.23938,11.61982,11.53604,11.32189,11.43213,11.02738,11.72064,12.03219,12.41404,12.51373,12.35568,12.01617,12.18206,12.64994,12.70052,12.53811
