"gene","Subject 1 - CSU v3","Subject 1 - CSU v6","Subject 2 - CSU v3","Subject 2 - CSU v6","Subject 3 - CSU v3","Subject 3 - CSU v6","Subject 4 - CSU v3","Subject 4 - CSU v6","Subject 1 - non-CSU","Subject 2 - non-CSU","Subject 3 - non-CSU","Subject 4 - non-CSU","Subject 5 - non CSU","Subject 6 - non CSU","Subject 5 - CSU v3","Subject 5 - CSU v6","Subject 6 - CSU v3","Subject 6 - CSU v6","Subject 7 - CSU v3","Subject 7 - CSU v6","Subject 8 - CSU v3"
"ENSG00000132823",10.59927,10.82465,11.34979,11.13558,11.69647,11.29002,11.30642,11.56773,11.15554,11.47995,10.27271,9.969312,10.96564,11.91907,11.47089,11.60288,11.48718,11.324,11.77807,11.75581,12.0762
"ENSG00000132824",13.68087,13.82566,14.27281,13.93716,14.1231,14.10141,13.9882,13.82627,13.78138,13.78946,14.03539,14.05471,14.29148,14.43643,14.4846,14.38474,14.34105,14.28214,14.42814,14.40187,14.51848
"ENSG00000132842",10.61556,10.58337,10.46666,10.46156,10.58948,10.93002,10.29552,10.71519,10.11592,10.52314,9.915169,9.895909,11.77376,11.92039,11.91043,11.84652,11.86932,11.77965,11.7279,11.62527,11.84101
"ENSG00000132950",12.01738,11.98835,12.22,12.12056,12.21565,11.90954,11.94474,12.38076,11.85934,12.20185,11.94738,12.24188,12.30857,12.75379,12.6185,12.64219,12.37785,12.30039,12.44759,12.60569,12.6195
"ENSG00000132952",10.83752,10.60061,10.97224,11.34041,10.7845,10.92131,11.32696,10.84325,10.88107,11.41261,10.34621,10.54825,11.54717,11.27066,11.24507,11.22498,11.2501,11.25239,10.99546,11.05272,11.48305
"ENSG00000132963",13.14289,13.10011,13.2604,12.87312,13.01657,12.64889,13.18523,13.00007,13.02064,13.2443,12.8545,12.69431,12.34418,12.25486,12.44977,12.3451,12.51595,12.32741,12.36486,12.26706,11.77658
"ENSG00000132965",17.24175,17.15522,17.24374,17.25201,17.27042,17.35655,17.43369,17.33692,17.44165,17.21902,17.3444,17.30917,17.10335,17.31749,17.18772,17.15978,17.18381,17.19711,17.19958,17.22059,17.21167
"ENSG00000133030",10.74886,10.94028,11.2246,11.27904,10.99502,11.20097,10.33166,10.24105,10.82621,10.1727,10.65793,10.76734,11.43984,11.46929,11.5156,11.49835,11.20057,11.21625,11.24458,10.91084,11.61816
"ENSG00000133101",12.3708,11.92492,11.90143,11.20052,12.70041,12.23717,11.05156,11.09282,11.74652,11.82937,11.82825,12.78629,11.15241,11.4345,11.83356,11.77554,11.809,11.74042,12.28333,12.1612,9.667347
"ENSG00000133112",16.60341,16.69151,16.65658,16.5633,16.87306,16.86651,16.6796,16.65456,16.54784,16.49741,16.7354,16.58098,16.64862,16.81631,16.72485,16.76456,16.85255,16.7589,16.55505,16.78403,16.83484
"ENSG00000133226",13.51194,13.50001,13.27197,13.65154,13.49001,13.32775,13.76678,13.06343,13.15514,13.53859,12.85205,12.78078,13.25144,13.29404,12.99365,13.22751,13.05402,12.98543,13.05226,12.9751,12.91528
"ENSG00000133246",12.67352,13.41035,11.36527,11.49112,11.56067,10.44684,12.92624,12.4983,12.55398,11.33675,12.73347,12.96783,10.81586,8.98951,10.24881,9.525272,10.91586,10.16891,9.238323,8.388773,8.256924
"ENSG00000133318",14.3182,15.03547,14.80403,14.38847,14.66304,14.56002,13.40541,14.3069,14.28964,14.39795,14.25879,13.90856,14.69956,14.54526,15.20138,14.9576,15.00061,14.77583,14.88276,14.7499,14.47901
