"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",6.90184859840787e-248,33.6057969150461,0.294562824063807,"RPS14",7.53315512897314e-247
"OK",1.1510123866679e-245,33.4533324016159,0.298660051518313,"BAG2",1.25036864457367e-244
"OK",8.26428005152439e-245,33.3944062236065,0.29815503663728,"CYR61",8.93551030923036e-244
"OK",1.02467903648488e-244,33.3879725034238,0.298237823758689,"RARRES2",1.10272701917041e-243
"OK",1.55364574999829e-242,33.2373726884168,0.292906566263053,"UBC",1.66420751732375e-241
"OK",2.41840195539402e-242,33.2240686412489,0.296583353522736,"MT2A",2.57850912188538e-241
"OK",3.14768739835656e-242,33.2161420296417,0.296711226560428,"ALDOA",3.34061017438487e-241
"OK",3.63899361539623e-241,33.1424392212371,0.296029166529289,"VASN",3.84431297993465e-240
"OK",7.7356951853732e-239,32.9804857464065,0.29460568799779,"WDR1",8.13484292781483e-238
"OK",1.48131473140722e-237,32.8909312504113,0.293784419878793,"KLF10",1.55066719383219e-236
"OK",2.57161402811963e-237,32.8741717552208,0.293500946411205,"WFDC1",2.67983127002693e-236
"OK",4.3452639905836e-237,32.8582262388101,0.293373453928568,"SH3BGRL",4.50772205870002e-236
"OK",5.10066360249525e-237,32.8533523316588,0.292876385985094,"FOSB",5.26763599845137e-236
"OK",6.10635450694177e-237,32.8478792834128,0.293202015877859,"NDUFA4",6.27809572744951e-236
